file_path,author
/home/aiadmin/Desktop/datasets/bigText/Tolstoy__Leo__graf/7176_ALetterto.txt,Tolstoy__Leo__graf
/home/aiadmin/Desktop/datasets/bigText/Tolstoy__Leo__graf/4602_TheKingdomof.txt,Tolstoy__Leo__graf
/home/aiadmin/Desktop/datasets/bigText/Houston__Edwin_J___Edwin_James_/43320_TheWonderBook.txt,Houston__Edwin_J___Edwin_James_
/home/aiadmin/Desktop/datasets/bigText/Tufts__James_Hayden/29508_TheEthicsof.txt,Tufts__James_Hayden
/home/aiadmin/Desktop/datasets/bigText/Gilman__Charlotte_Perkins/40481_ConcerningChildren.txt,Gilman__Charlotte_Perkins
/home/aiadmin/Desktop/datasets/bigText/Gilman__Charlotte_Perkins/64098_HumanWork.txt,Gilman__Charlotte_Perkins
/home/aiadmin/Desktop/datasets/bigText/Gilman__Charlotte_Perkins/44481_Thehomeits.txt,Gilman__Charlotte_Perkins
/home/aiadmin/Desktop/datasets/bigText/Canada/89_NorthAmericanFree.txt,Canada
/home/aiadmin/Desktop/datasets/bigText/Middleton__Thomas_C___Thomas_Cooke_/35191_Somenoteson.txt,Middleton__Thomas_C___Thomas_Cooke_
/home/aiadmin/Desktop/datasets/bigText/Plummer__Alfred/39628_TheExpositorsBible.txt,Plummer__Alfred
/home/aiadmin/Desktop/datasets/bigText/Plummer__Alfred/47337_TheExpositorsBible.txt,Plummer__Alfred
/home/aiadmin/Desktop/datasets/bigText/Haldane__R__B__Haldane__Richard_Burdon_Haldane___Viscount/17998_BeforetheWar.txt,Haldane__R__B__Haldane__Richard_Burdon_Haldane___Viscount
/home/aiadmin/Desktop/datasets/bigText/Patton__Carl_S___Carl_Safford_/39967_Sourcesofthe.txt,Patton__Carl_S___Carl_Safford_
/home/aiadmin/Desktop/datasets/bigText/Lane__George_Martin/44653_ALatinGrammar.txt,Lane__George_Martin
/home/aiadmin/Desktop/datasets/bigText/Mansfield__M__F___Milburg_Francisco___1871_/29820_TheCathedralsof.txt,Mansfield__M__F___Milburg_Francisco___1871_
/home/aiadmin/Desktop/datasets/bigText/Niebuhr__Barthold_Georg/71375_Niebuhrslectureson.txt,Niebuhr__Barthold_Georg
/home/aiadmin/Desktop/datasets/bigText/May__Florence/40643_TheLifeof.txt,May__Florence
/home/aiadmin/Desktop/datasets/bigText/Cook__Sherburne_Friend/33812_TheAboriginalPopulation.txt,Cook__Sherburne_Friend
/home/aiadmin/Desktop/datasets/bigText/Robinson__James_Harvey/8077_TheMindin.txt,Robinson__James_Harvey
/home/aiadmin/Desktop/datasets/bigText/Le_Sueur__Gordon__1874_/46103_GermanysVanishingColonies.txt,Le_Sueur__Gordon__1874_
/home/aiadmin/Desktop/datasets/bigText/De_Fontaine__F__G___Felix_Gregory_/35693_HistoryofAmerican.txt,De_Fontaine__F__G___Felix_Gregory_
/home/aiadmin/Desktop/datasets/bigText/Hollingworth__Harry_L___Harry_Levi_/59082_TheSenseof.txt,Hollingworth__Harry_L___Harry_Levi_
/home/aiadmin/Desktop/datasets/bigText/Quigley__Edward_J_/10058_TheDivineOffice.txt,Quigley__Edward_J_
/home/aiadmin/Desktop/datasets/bigText/Meldola__Raphael/33165_CoalandWhat.txt,Meldola__Raphael
/home/aiadmin/Desktop/datasets/bigText/Best__Harry/23320_TheDeaf.txt,Best__Harry
/home/aiadmin/Desktop/datasets/bigText/Putman__J__Harold__John_Harold_/37739_EgertonRyersonand.txt,Putman__J__Harold__John_Harold_
/home/aiadmin/Desktop/datasets/bigText/Towns__Charles_Barnes__1862_/35270_HabitsthatHandicap.txt,Towns__Charles_Barnes__1862_
/home/aiadmin/Desktop/datasets/bigText/Andrews__Henry_Cranke__active_1799_1828/66266_Rosesora.txt,Andrews__Henry_Cranke__active_1799_1828
/home/aiadmin/Desktop/datasets/bigText/Stevenson__William_Bennet__active_1803_1825/55777_Historicalanddescriptive.txt,Stevenson__William_Bennet__active_1803_1825
/home/aiadmin/Desktop/datasets/bigText/Stevenson__William_Bennet__active_1803_1825/55775_HistoricalandDescriptive.txt,Stevenson__William_Bennet__active_1803_1825
/home/aiadmin/Desktop/datasets/bigText/Hale__Horatio/8567_TheIroquoisBook.txt,Hale__Horatio
/home/aiadmin/Desktop/datasets/bigText/Agnew__W__P___William_Penn_/69288_Treatmentofhemorrhoids.txt,Agnew__W__P___William_Penn_
/home/aiadmin/Desktop/datasets/bigText/Müller__F__Max__Friedrich_Max_/30192_Chipsfroma.txt,Müller__F__Max__Friedrich_Max_
/home/aiadmin/Desktop/datasets/bigText/Müller__F__Max__Friedrich_Max_/68517_Auldlangsyne.txt,Müller__F__Max__Friedrich_Max_
/home/aiadmin/Desktop/datasets/bigText/Müller__F__Max__Friedrich_Max_/32856_Lecturesonthe.txt,Müller__F__Max__Friedrich_Max_
/home/aiadmin/Desktop/datasets/bigText/Müller__F__Max__Friedrich_Max_/20847_IndiaWhatcan.txt,Müller__F__Max__Friedrich_Max_
/home/aiadmin/Desktop/datasets/bigText/Flickinger__Roy_C___Roy_Caston_/69095_TheGreektheater.txt,Flickinger__Roy_C___Roy_Caston_
/home/aiadmin/Desktop/datasets/bigText/Bailey__L__H___Liberty_Hyde_/9550_ManualofGardening.txt,Bailey__L__H___Liberty_Hyde_
/home/aiadmin/Desktop/datasets/bigText/Bailey__L__H___Liberty_Hyde_/33178_TheHolyEarth.txt,Bailey__L__H___Liberty_Hyde_
/home/aiadmin/Desktop/datasets/bigText/Bailey__L__H___Liberty_Hyde_/40197_TheCountryLifeMovement.txt,Bailey__L__H___Liberty_Hyde_
/home/aiadmin/Desktop/datasets/bigText/Gibbons__Herbert_Adams/56836_TheFoundationof.txt,Gibbons__Herbert_Adams
/home/aiadmin/Desktop/datasets/bigText/Gibbons__Herbert_Adams/61384_AngloSaxonSolidarity.txt,Gibbons__Herbert_Adams
/home/aiadmin/Desktop/datasets/bigText/Gibbons__Herbert_Adams/59573_EuropeSince1918.txt,Gibbons__Herbert_Adams
/home/aiadmin/Desktop/datasets/bigText/Eastman__Max/36051_ColorsofLife.txt,Eastman__Max
/home/aiadmin/Desktop/datasets/bigText/Rich__Walter_H___Walter_Herbert___1866_/15035_FishingGroundsof.txt,Rich__Walter_H___Walter_Herbert___1866_
/home/aiadmin/Desktop/datasets/bigText/Beruete_y_Moret__A__de__Aureliano_/64796_SpanishPainting.txt,Beruete_y_Moret__A__de__Aureliano_
/home/aiadmin/Desktop/datasets/bigText/Earle__John/59372_TheAlfredJewel.txt,Earle__John
/home/aiadmin/Desktop/datasets/bigText/Ridgway__John_L_/43232_ThePreparationof.txt,Ridgway__John_L_
/home/aiadmin/Desktop/datasets/bigText/Hoover__Cynthia_A___Cynthia_Adams_/39690_HarpsichordsandClavichords.txt,Hoover__Cynthia_A___Cynthia_Adams_
/home/aiadmin/Desktop/datasets/bigText/Parsons__Samuel_Browne/48186_Parsonsonthe.txt,Parsons__Samuel_Browne
/home/aiadmin/Desktop/datasets/bigText/Anderson__Benjamin_M___Benjamin_McAlester_/34823_TheValueof.txt,Anderson__Benjamin_M___Benjamin_McAlester_
/home/aiadmin/Desktop/datasets/bigText/Anderson__Benjamin_M___Benjamin_McAlester_/38047_SocialValueA.txt,Anderson__Benjamin_M___Benjamin_McAlester_
/home/aiadmin/Desktop/datasets/bigText/Ahlborn__Richard_E_/44678_ThePenitenteMoradas.txt,Ahlborn__Richard_E_
/home/aiadmin/Desktop/datasets/bigText/Lowie__Robert_Harry/49153_CultureEthnology.txt,Lowie__Robert_Harry
/home/aiadmin/Desktop/datasets/bigText/Bartrum__Edward/31251_TheBookof.txt,Bartrum__Edward
/home/aiadmin/Desktop/datasets/bigText/Cook__O__F___Orator_Fuller_/69783_Asynopsisof.txt,Cook__O__F___Orator_Fuller_
/home/aiadmin/Desktop/datasets/bigText/Herbart__Johann_Friedrich/44905_OutlinesofEducational.txt,Herbart__Johann_Friedrich
/home/aiadmin/Desktop/datasets/bigText/Scarborough__W__S___William_Sanders_/31255_TheeducatedNegro.txt,Scarborough__W__S___William_Sanders_
/home/aiadmin/Desktop/datasets/bigText/Reeder__Charles_Wells__1884_/26551_GovernmentDocumentsin.txt,Reeder__Charles_Wells__1884_
/home/aiadmin/Desktop/datasets/bigText/Beard__Charles_A___Charles_Austin_/70677_Aneconomicinterpretation.txt,Beard__Charles_A___Charles_Austin_
/home/aiadmin/Desktop/datasets/bigText/Gilligan__James_P___James_Pershing___1917_/59885_WildAnimalsof.txt,Gilligan__James_P___James_Pershing___1917_
/home/aiadmin/Desktop/datasets/bigText/Radcliffe__William/57845_Fishingfromthe.txt,Radcliffe__William
/home/aiadmin/Desktop/datasets/bigText/Waterhouse__G__R___George_Robert_/69577_Thezoologyof.txt,Waterhouse__G__R___George_Robert_
/home/aiadmin/Desktop/datasets/bigText/Russell__T__Baron/48674_AHundredYears.txt,Russell__T__Baron
/home/aiadmin/Desktop/datasets/bigText/Levy__Stanley_Isaac/62923_TheRareEarths.txt,Levy__Stanley_Isaac
/home/aiadmin/Desktop/datasets/bigText/Williams__Roger__1604__1683/65739_TheBloudyTenent.txt,Williams__Roger__1604__1683
/home/aiadmin/Desktop/datasets/bigText/Withering__William/24886_AnAccountof.txt,Withering__William
/home/aiadmin/Desktop/datasets/bigText/Longe__Francis_Davy/53858_Lowestoftinolden.txt,Longe__Francis_Davy
/home/aiadmin/Desktop/datasets/bigText/MacNaul__Willard_C___Willard_Carey___1864_/21251_TheJeffersonLemenCompact.txt,MacNaul__Willard_C___Willard_Carey___1864_
/home/aiadmin/Desktop/datasets/bigText/Stokes__George_Thomas/42303_TheExpositorsBible.txt,Stokes__George_Thomas
/home/aiadmin/Desktop/datasets/bigText/Dumas__Alexandre/2745_KarlLudwigSand.txt,Dumas__Alexandre
/home/aiadmin/Desktop/datasets/bigText/Barton__Clara/44202_TheRedCross.txt,Barton__Clara
/home/aiadmin/Desktop/datasets/bigText/Peter__Robert/31816_TheHistoryof.txt,Peter__Robert
/home/aiadmin/Desktop/datasets/bigText/Montgomery__Walter_A___Walter_Alexander_/68716_Somephasesof.txt,Montgomery__Walter_A___Walter_Alexander_
/home/aiadmin/Desktop/datasets/bigText/Donne__John/48772_ThePoemsof.txt,Donne__John
/home/aiadmin/Desktop/datasets/bigText/Fustel_de_Coulanges/67558_TheOriginof.txt,Fustel_de_Coulanges
/home/aiadmin/Desktop/datasets/bigText/Woolf__Daniel/71517_Refractionandmuscular.txt,Woolf__Daniel
/home/aiadmin/Desktop/datasets/bigText/Tyler__John_M___John_Mason_/14834_TheWhenceand.txt,Tyler__John_M___John_Mason_
/home/aiadmin/Desktop/datasets/bigText/Cammaerts__Emile/27442_BelgiumFromthe.txt,Cammaerts__Emile
/home/aiadmin/Desktop/datasets/bigText/Palgrave__Francis_Turner/17923_TheVisionsof.txt,Palgrave__Francis_Turner
/home/aiadmin/Desktop/datasets/bigText/Joseph__Helen_Haiman/66391_ABookof.txt,Joseph__Helen_Haiman
/home/aiadmin/Desktop/datasets/bigText/Rathgen__Friedrich/46851_ThePreservationof.txt,Rathgen__Friedrich
/home/aiadmin/Desktop/datasets/bigText/Mallock__W__H___William_Hurrell_/17201_IsLifeWorth.txt,Mallock__W__H___William_Hurrell_
/home/aiadmin/Desktop/datasets/bigText/Mallock__W__H___William_Hurrell_/17416_ACriticalExamination.txt,Mallock__W__H___William_Hurrell_
/home/aiadmin/Desktop/datasets/bigText/Mallock__W__H___William_Hurrell_/58968_AristocracyEvolution.txt,Mallock__W__H___William_Hurrell_
/home/aiadmin/Desktop/datasets/bigText/Woodworth__Robert_Sessions/31382_Psychology.txt,Woodworth__Robert_Sessions
/home/aiadmin/Desktop/datasets/bigText/Bachynskyi__IUliian/33551_Memorandumtothe.txt,Bachynskyi__IUliian
/home/aiadmin/Desktop/datasets/bigText/Paine__Thomas/3742_TheWritingsof.txt,Paine__Thomas
/home/aiadmin/Desktop/datasets/bigText/Paine__Thomas/3743_TheWritingsof.txt,Paine__Thomas
/home/aiadmin/Desktop/datasets/bigText/Paine__Thomas/3755_CommonSense.txt,Paine__Thomas
/home/aiadmin/Desktop/datasets/bigText/Paine__Thomas/3741_TheWritingsof.txt,Paine__Thomas
/home/aiadmin/Desktop/datasets/bigText/Monroe__Harriet/63558_HarlowNilesHiginbotham.txt,Monroe__Harriet
/home/aiadmin/Desktop/datasets/bigText/Goodsell__Daniel_A___Daniel_Ayres_/15861_TheThingsWhich.txt,Goodsell__Daniel_A___Daniel_Ayres_
/home/aiadmin/Desktop/datasets/bigText/Fithian__Philip_Vickers/40044_JournalandLetters.txt,Fithian__Philip_Vickers
/home/aiadmin/Desktop/datasets/bigText/Seebohm__Hugh_E___Hugh_Exton_/26341_OnTheStructure.txt,Seebohm__Hugh_E___Hugh_Exton_
/home/aiadmin/Desktop/datasets/bigText/Brigham__William_Tufts/70929_Guatemala.txt,Brigham__William_Tufts
/home/aiadmin/Desktop/datasets/bigText/Miller__Hugh/28248_TheTestimonyof.txt,Miller__Hugh
/home/aiadmin/Desktop/datasets/bigText/Miller__Hugh/29440_LeadingArticleson.txt,Miller__Hugh
/home/aiadmin/Desktop/datasets/bigText/Hammond__Basil_Edward/49368_ThePoliticalInstitutions.txt,Hammond__Basil_Edward
/home/aiadmin/Desktop/datasets/bigText/McAllan__Alexander__1847_/34909_AncientChineseaccount.txt,McAllan__Alexander__1847_
/home/aiadmin/Desktop/datasets/bigText/Salmon__Lucy_Maynard/64287_Progressinthe.txt,Salmon__Lucy_Maynard
/home/aiadmin/Desktop/datasets/bigText/Kirkpatrick__F__A___Frederick_Alexander_/38793_SouthAmericaand.txt,Kirkpatrick__F__A___Frederick_Alexander_
/home/aiadmin/Desktop/datasets/bigText/Bramble__Charles_A_/45287_TheAB.txt,Bramble__Charles_A_
/home/aiadmin/Desktop/datasets/bigText/Ross__Andrew/41958_TheMicroscope.txt,Ross__Andrew
/home/aiadmin/Desktop/datasets/bigText/Robinson__William_J___William_Josephus_/21840_Woman.txt,Robinson__William_J___William_Josephus_
/home/aiadmin/Desktop/datasets/bigText/Lacock__John_Kennedy/44648_BraddockRoad.txt,Lacock__John_Kennedy
/home/aiadmin/Desktop/datasets/bigText/Carpenter__Frank_G___Frank_George_/71640_CanadaandNewfoundland.txt,Carpenter__Frank_G___Frank_George_
/home/aiadmin/Desktop/datasets/bigText/Aughinbaugh__William_Edmund/60150_SellingLatinAmerica.txt,Aughinbaugh__William_Edmund
/home/aiadmin/Desktop/datasets/bigText/Olcott__William_Tyler/20769_AFieldBook.txt,Olcott__William_Tyler
/home/aiadmin/Desktop/datasets/bigText/Newman__E__M___Edward_Manuel_/44983_TheMentorItaly.txt,Newman__E__M___Edward_Manuel_
/home/aiadmin/Desktop/datasets/bigText/Senefelder__Alois/40924_TheInventionof.txt,Senefelder__Alois
/home/aiadmin/Desktop/datasets/bigText/Radin__Paul/70615_Theritualand.txt,Radin__Paul
/home/aiadmin/Desktop/datasets/bigText/Ripley__William_Zebina/47831_RailroadsRatesand.txt,Ripley__William_Zebina
/home/aiadmin/Desktop/datasets/bigText/Bartholdt__Richard/16432_EsperantoHearingsbefore.txt,Bartholdt__Richard
/home/aiadmin/Desktop/datasets/bigText/Young__Jennie_J_/43221_TheCeramicArt.txt,Young__Jennie_J_
/home/aiadmin/Desktop/datasets/bigText/Zimmer__Kevin_J___1958_/53307_ABirdersGuide.txt,Zimmer__Kevin_J___1958_
/home/aiadmin/Desktop/datasets/bigText/Hewlett__Albion_Walter/41778_Epitomeofthe.txt,Hewlett__Albion_Walter
/home/aiadmin/Desktop/datasets/bigText/Brissenden__Paul_F___Paul_Frederick_/45758_TheIW.txt,Brissenden__Paul_F___Paul_Frederick_
/home/aiadmin/Desktop/datasets/bigText/Cavanagh__George_Anthony__1894_/67852_ModelAeroplanesand.txt,Cavanagh__George_Anthony__1894_
/home/aiadmin/Desktop/datasets/bigText/Escott__T__H__S___Thomas_Hay_Sweet_/39001_SocialTransformationsof.txt,Escott__T__H__S___Thomas_Hay_Sweet_
/home/aiadmin/Desktop/datasets/bigText/Jenner__Henry/26192_AHandbookof.txt,Jenner__Henry
/home/aiadmin/Desktop/datasets/bigText/Loomis__Justin_R___Justin_Rudolph_/41840_TheElementsof.txt,Loomis__Justin_R___Justin_Rudolph_
/home/aiadmin/Desktop/datasets/bigText/Mackail__J__W___John_William_/8894_LatinLiterature.txt,Mackail__J__W___John_William_
/home/aiadmin/Desktop/datasets/bigText/Hazen__Allen/69025_Thefiltrationof.txt,Hazen__Allen
/home/aiadmin/Desktop/datasets/bigText/Booth__Arthur_John/71905_Thediscoveryand.txt,Booth__Arthur_John
/home/aiadmin/Desktop/datasets/bigText/Field__David_Dudley/29460_TheElectoralVotes.txt,Field__David_Dudley
/home/aiadmin/Desktop/datasets/bigText/Regester__J__A___Jacob_Asbury_/26136_TheWorshipof.txt,Regester__J__A___Jacob_Asbury_
/home/aiadmin/Desktop/datasets/bigText/Dudfield__T__Orme/62066_TheAnnualReport.txt,Dudfield__T__Orme
/home/aiadmin/Desktop/datasets/bigText/Delphian_Society/42224_TheWorldsProgress.txt,Delphian_Society
/home/aiadmin/Desktop/datasets/bigText/Kahn__Otto_H_/30507_RightAboveRace.txt,Kahn__Otto_H_
/home/aiadmin/Desktop/datasets/bigText/Kahn__Otto_H_/29493_GovernmentOwnershipof.txt,Kahn__Otto_H_
/home/aiadmin/Desktop/datasets/bigText/Kahn__Otto_H_/29252_WarTaxationSome.txt,Kahn__Otto_H_
/home/aiadmin/Desktop/datasets/bigText/Faucher__Léon/50581_Remarksonthe.txt,Faucher__Léon
/home/aiadmin/Desktop/datasets/bigText/Horton__Charles_M___Charles_Marcus___1879_/24681_OpportunitiesinEngineering.txt,Horton__Charles_M___Charles_Marcus___1879_
/home/aiadmin/Desktop/datasets/bigText/Dryden__John/15074_HisMajestiesDeclaration.txt,Dryden__John
/home/aiadmin/Desktop/datasets/bigText/Cunningham__Francis_A___Francis_Aloysius_/38391_TheWarUpon.txt,Cunningham__Francis_A___Francis_Aloysius_
/home/aiadmin/Desktop/datasets/bigText/Eyre__Edward_John/5345_JournalsofExpeditions.txt,Eyre__Edward_John
/home/aiadmin/Desktop/datasets/bigText/Humboldt__Alexander_von/14565_CosmosASketch.txt,Humboldt__Alexander_von
/home/aiadmin/Desktop/datasets/bigText/Humboldt__Alexander_von/67684_Viewsofnature.txt,Humboldt__Alexander_von
/home/aiadmin/Desktop/datasets/bigText/Humboldt__Alexander_von/68953_Aspectsofnature.txt,Humboldt__Alexander_von
/home/aiadmin/Desktop/datasets/bigText/Coker__R__E___Robert_Ervin_/43177_TheProtectionof.txt,Coker__R__E___Robert_Ervin_
/home/aiadmin/Desktop/datasets/bigText/Kant__Immanuel/50922_PerpetualPeaceA.txt,Kant__Immanuel
/home/aiadmin/Desktop/datasets/bigText/Kant__Immanuel/52821_KantsProlegomenato.txt,Kant__Immanuel
/home/aiadmin/Desktop/datasets/bigText/Kant__Immanuel/48433_KantsCritiqueof.txt,Kant__Immanuel
/home/aiadmin/Desktop/datasets/bigText/Kant__Immanuel/46060_OftheInjustice.txt,Kant__Immanuel
/home/aiadmin/Desktop/datasets/bigText/Kant__Immanuel/4280_TheCritiqueof.txt,Kant__Immanuel
/home/aiadmin/Desktop/datasets/bigText/Kant__Immanuel/59023_Indexofthe.txt,Kant__Immanuel
/home/aiadmin/Desktop/datasets/bigText/Barlow__Jon_C_/32855_NaturalHistoryof.txt,Barlow__Jon_C_
/home/aiadmin/Desktop/datasets/bigText/Malatesta__Errico/40365_Anarchy.txt,Malatesta__Errico
/home/aiadmin/Desktop/datasets/bigText/Mattson__Hans/32399_ReminiscencesTheStory.txt,Mattson__Hans
/home/aiadmin/Desktop/datasets/bigText/Patrick__Mary_Mills/17556_SextusEmpiricusand.txt,Patrick__Mary_Mills
/home/aiadmin/Desktop/datasets/bigText/Sanday__W___William_/10955_TheGospelsin.txt,Sanday__W___William_
/home/aiadmin/Desktop/datasets/bigText/Sanday__W___William_/60553_TheCriticismof.txt,Sanday__W___William_
/home/aiadmin/Desktop/datasets/bigText/Boyle__James__1959_/27526_ThePublicDomain.txt,Boyle__James__1959_
/home/aiadmin/Desktop/datasets/bigText/Hay__Oliver_Perry/61765_ThePleistoceneof.txt,Hay__Oliver_Perry
/home/aiadmin/Desktop/datasets/bigText/Smith__Annie_Lorrain/61616_Lichens.txt,Smith__Annie_Lorrain
/home/aiadmin/Desktop/datasets/bigText/Malcolm__James_Peller/48065_Anecdotesofthe.txt,Malcolm__James_Peller
/home/aiadmin/Desktop/datasets/bigText/Bury__J__B___John_Bagnell_/10684_AHistoryof.txt,Bury__J__B___John_Bagnell_
/home/aiadmin/Desktop/datasets/bigText/Robinson__Walter_Stitt/28499_MotherEarthLand.txt,Robinson__Walter_Stitt
/home/aiadmin/Desktop/datasets/bigText/Asimov__Isaac/49820_WorldsWithinWorlds.txt,Asimov__Isaac
/home/aiadmin/Desktop/datasets/bigText/Asimov__Isaac/55738_TheGeneticEffects.txt,Asimov__Isaac
/home/aiadmin/Desktop/datasets/bigText/Asimov__Isaac/49819_WorldsWithinWorlds.txt,Asimov__Isaac
/home/aiadmin/Desktop/datasets/bigText/Slauson__Harold_Whiting/45932_TheGasolineMotor.txt,Slauson__Harold_Whiting
/home/aiadmin/Desktop/datasets/bigText/E____F__N__Spon/59308_BooksRelatingto.txt,E____F__N__Spon
/home/aiadmin/Desktop/datasets/bigText/Tarbell__Ida_M___Ida_Minerva_/49810_TheMentorNapoleon.txt,Tarbell__Ida_M___Ida_Minerva_
/home/aiadmin/Desktop/datasets/bigText/Hitchcock__Edward/35408_TheReligionof.txt,Hitchcock__Edward
/home/aiadmin/Desktop/datasets/bigText/Collier__Dorothy_Josephine/46104_TheGirlin.txt,Collier__Dorothy_Josephine
/home/aiadmin/Desktop/datasets/bigText/Griffin__Lawrence_Edmonds/59524_AGuidefor.txt,Griffin__Lawrence_Edmonds
/home/aiadmin/Desktop/datasets/bigText/Truman__Harry_S_/5039_Stateofthe.txt,Truman__Harry_S_
/home/aiadmin/Desktop/datasets/bigText/Lighthall__W__D___William_Douw_/14777_HochelagansandMohawks.txt,Lighthall__W__D___William_Douw_
/home/aiadmin/Desktop/datasets/bigText/Hayes__Herbert_E__E___Herbert_Edward_Elton_/14064_MohammedTheProphet.txt,Hayes__Herbert_E__E___Herbert_Edward_Elton_
/home/aiadmin/Desktop/datasets/bigText/Abrahams__Ethel_Beatrice/51128_GreekDress.txt,Abrahams__Ethel_Beatrice
/home/aiadmin/Desktop/datasets/bigText/Humphrey__S__D___Samuel_Dwight_/63517_APracticalManual.txt,Humphrey__S__D___Samuel_Dwight_
/home/aiadmin/Desktop/datasets/bigText/Stevens__John_Austin/20873_AlbertGallatin.txt,Stevens__John_Austin
/home/aiadmin/Desktop/datasets/bigText/Hartwig__G___Georg_/52466_TheSubterraneanWorld.txt,Hartwig__G___Georg_
/home/aiadmin/Desktop/datasets/bigText/Skeat__Walter_W___Walter_William_/15755_EnglishDialectsFrom.txt,Skeat__Walter_W___Walter_William_
/home/aiadmin/Desktop/datasets/bigText/Ackerman__Phyllis/57518_Catalogueofthe.txt,Ackerman__Phyllis
/home/aiadmin/Desktop/datasets/bigText/Williamson__A__W___Andrew_Woods_/26529_TheDakotanLanguages.txt,Williamson__A__W___Andrew_Woods_
/home/aiadmin/Desktop/datasets/bigText/Plutarch__46_120_/58567_Plutarchonthe.txt,Plutarch__46_120_
/home/aiadmin/Desktop/datasets/bigText/Plutarch__46_120_/44315_PlutarchsLivesVolume.txt,Plutarch__46_120_
/home/aiadmin/Desktop/datasets/bigText/Andrews__John_Nevins/55818_TheCompleteTestimony.txt,Andrews__John_Nevins
/home/aiadmin/Desktop/datasets/bigText/Beeton__Mrs___Isabella_Mary_/10136_TheBookof.txt,Beeton__Mrs___Isabella_Mary_
/home/aiadmin/Desktop/datasets/bigText/Warschauer__Joseph__1869_/21496_ProblemsofImmanence.txt,Warschauer__Joseph__1869_
/home/aiadmin/Desktop/datasets/bigText/Lewins__William/42583_AHistoryof.txt,Lewins__William
/home/aiadmin/Desktop/datasets/bigText/Messenger__Ruth_Ellis/54150_TheMedievalLatin.txt,Messenger__Ruth_Ellis
/home/aiadmin/Desktop/datasets/bigText/Messenger__Ruth_Ellis/33160_ChristianHymnsof.txt,Messenger__Ruth_Ellis
/home/aiadmin/Desktop/datasets/bigText/Sime__James/58972_LifeofJohann.txt,Sime__James
/home/aiadmin/Desktop/datasets/bigText/Childers__Erskine/55425_Warandthe.txt,Childers__Erskine
/home/aiadmin/Desktop/datasets/bigText/Wolfensberger__Arnold/14600_TheoryofSilk.txt,Wolfensberger__Arnold
/home/aiadmin/Desktop/datasets/bigText/Maag__Carl_R_/548_ProjectTrinity19451946.txt,Maag__Carl_R_
/home/aiadmin/Desktop/datasets/bigText/Celesia__Emanuele/50656_TheConspiracyof.txt,Celesia__Emanuele
/home/aiadmin/Desktop/datasets/bigText/Howard__Benjamin_C___Benjamin_Chew_/31425_Reportofthe.txt,Howard__Benjamin_C___Benjamin_Chew_
/home/aiadmin/Desktop/datasets/bigText/Gillette__Henry_S_/54827_LeonardodaVinci.txt,Gillette__Henry_S_
/home/aiadmin/Desktop/datasets/bigText/Browne__Abdullah/39971_BonaparteinEgypt.txt,Browne__Abdullah
/home/aiadmin/Desktop/datasets/bigText/Adkins__W__Bion/13816_TheJerichoRoad.txt,Adkins__W__Bion
/home/aiadmin/Desktop/datasets/bigText/Walpole__Horace/4919_TheLettersof.txt,Walpole__Horace
/home/aiadmin/Desktop/datasets/bigText/Taylor__Henry_Osborn/43881_TheMediaevalMind.txt,Taylor__Henry_Osborn
/home/aiadmin/Desktop/datasets/bigText/Kierkegaard__Søren/60333_Selectionsfromthe.txt,Kierkegaard__Søren
/home/aiadmin/Desktop/datasets/bigText/Betts__M__C___Morris_Cotgrave_/62608_RatProofingBuildings.txt,Betts__M__C___Morris_Cotgrave_
/home/aiadmin/Desktop/datasets/bigText/Sullivan__W__R__Washington__William_Robert_Washington_/22177_Moralityasa.txt,Sullivan__W__R__Washington__William_Robert_Washington_
/home/aiadmin/Desktop/datasets/bigText/Egan__Maurice_Francis/24003_Confessionsofa.txt,Egan__Maurice_Francis
/home/aiadmin/Desktop/datasets/bigText/Egan__Maurice_Francis/62712_AGentleman.txt,Egan__Maurice_Francis
/home/aiadmin/Desktop/datasets/bigText/Nitobe__Inazo/12096_BushidotheSoul.txt,Nitobe__Inazo
/home/aiadmin/Desktop/datasets/bigText/Manucy__Albert_C_/47216_TheBuildingof.txt,Manucy__Albert_C_
/home/aiadmin/Desktop/datasets/bigText/Knight__Charles/38367_KnowledgeIsPower.txt,Knight__Charles
/home/aiadmin/Desktop/datasets/bigText/Hügel__Friedrich__Freiherr_von/50206_TheMysticalElement.txt,Hügel__Friedrich__Freiherr_von
/home/aiadmin/Desktop/datasets/bigText/Brooks__David_Marshall__1902_/20248_TheNecessityof.txt,Brooks__David_Marshall__1902_
/home/aiadmin/Desktop/datasets/bigText/Givler__Robert_Chenault/70666_Theethicsof.txt,Givler__Robert_Chenault
/home/aiadmin/Desktop/datasets/bigText/Wesley__John/71946_Theworksof.txt,Wesley__John
/home/aiadmin/Desktop/datasets/bigText/Wesley__John/63909_Theworksof.txt,Wesley__John
/home/aiadmin/Desktop/datasets/bigText/Lamartine__Alphonse_de/13019_RaphaelOrPages.txt,Lamartine__Alphonse_de
/home/aiadmin/Desktop/datasets/bigText/Lamartine__Alphonse_de/25339_AtheismAmongthe.txt,Lamartine__Alphonse_de
/home/aiadmin/Desktop/datasets/bigText/Tacitus__Cornelius__56_117/7524_TheGermanyand.txt,Tacitus__Cornelius__56_117
